time,first encoder,second encoder,third encoder,fourth encoder,fifth encoder,upper torque sensor,lower torque sensor
117.952001,869699.034000,869696.352000,289898.694000,289898.604000,72474.624000,1.818211,5.439148
117.953001,869718.402000,869715.846000,289905.174000,289905.102000,72476.244000,1.283665,6.179810
117.954001,869737.806000,869735.286000,289911.672000,289911.564000,72477.846000,1.738621,7.092590
117.955001,869757.192000,869754.762000,289918.170000,289918.044000,72479.466000,1.598363,7.689514
117.956001,869776.560000,869774.148000,289924.632000,289924.524000,72481.068000,1.452977,7.817078
117.957001,869795.946000,869793.552000,289931.094000,289930.986000,72482.688000,1.489598,8.292847
117.958001,869815.314000,869812.866000,289937.538000,289937.412000,72484.308000,1.661473,8.439636
117.959001,869834.682000,869832.162000,289943.964000,289943.856000,72485.910000,1.530003,8.532104
117.960001,869854.050000,869851.422000,289950.372000,289950.264000,72487.512000,1.455540,8.730164
117.961001,869873.400000,869870.664000,289956.762000,289956.654000,72489.114000,1.585667,8.200073
117.962001,869892.750000,869889.870000,289963.152000,289963.044000,72490.734000,1.966038,8.037415
117.963001,869912.100000,869909.058000,289969.560000,289969.470000,72492.336000,1.743626,6.859436
117.964001,869931.450000,869928.300000,289975.950000,289975.878000,72493.956000,1.718358,6.495667
117.965001,869950.800000,869947.542000,289982.358000,289982.286000,72495.558000,2.034276,5.627441
117.966001,869970.150000,869966.856000,289988.784000,289988.730000,72497.178000,1.739842,4.800720
117.967001,869989.518000,869986.152000,289995.228000,289995.174000,72498.780000,2.217625,5.598755
117.968001,870008.886000,870005.574000,290001.690000,290001.618000,72500.382000,1.848485,5.691223
117.969001,870028.254000,870024.960000,290008.170000,290008.080000,72502.002000,2.208714,5.253906
117.970001,870047.622000,870044.436000,290014.668000,290014.596000,72503.622000,1.853612,6.237183
117.971001,870067.008000,870063.876000,290021.166000,290021.076000,72505.224000,2.116429,7.654419
117.972001,870086.376000,870083.406000,290027.682000,290027.574000,72506.844000,1.803075,7.804260
117.973001,870105.762000,870102.882000,290034.180000,290034.072000,72508.446000,1.676610,8.206482
117.974001,870125.130000,870122.340000,290040.678000,290040.570000,72510.066000,1.754979,8.586426
117.975001,870144.516000,870141.780000,290047.176000,290047.068000,72511.686000,1.782811,8.998108
117.976001,870163.884000,870161.238000,290053.638000,290053.530000,72513.306000,1.427708,9.285278
117.977001,870183.270000,870180.606000,290060.082000,290059.974000,72514.926000,1.909154,9.148254
117.978001,870202.620000,870199.974000,290066.544000,290066.436000,72516.528000,1.441624,9.435425
117.979001,870221.988000,870219.306000,290072.970000,290072.880000,72518.148000,1.881444,9.157715
117.980001,870241.338000,870238.620000,290079.396000,290079.324000,72519.768000,1.714574,7.721252
117.981001,870260.688000,870257.916000,290085.822000,290085.750000,72521.388000,1.325291,7.239380
117.982001,870280.038000,870277.194000,290092.248000,290092.194000,72522.990000,1.613499,6.466980
117.983001,870299.388000,870296.526000,290098.674000,290098.620000,72524.592000,1.818211,6.275330
117.984001,870318.756000,870315.822000,290105.136000,290105.046000,72526.212000,1.905370,5.822144
117.985001,870338.106000,870335.172000,290111.562000,290111.508000,72527.814000,1.897801,6.246643
117.986001,870357.474000,870354.540000,290118.024000,290117.952000,72529.416000,1.560399,6.636047
117.987001,870376.842000,870373.890000,290124.486000,290124.414000,72531.036000,1.838475,6.138306
117.988001,870396.192000,870393.258000,290130.948000,290130.876000,72532.656000,1.805516,6.680908
117.989001,870415.560000,870412.644000,290137.428000,290137.338000,72534.258000,1.752538,7.446899
117.990001,870434.928000,870432.048000,290143.890000,290143.782000,72535.878000,1.814427,7.635193
117.991001,870454.296000,870451.452000,290150.370000,290150.262000,72537.480000,1.869969,8.021545
117.992001,870473.682000,870470.820000,290156.832000,290156.724000,72539.100000,1.972386,8.311768
117.993001,870493.032000,870490.224000,290163.312000,290163.186000,72540.720000,1.542699,8.200073
117.994001,870512.400000,870509.592000,290169.756000,290169.648000,72542.340000,2.022923,8.439636
117.995001,870531.768000,870528.960000,290176.218000,290176.092000,72543.942000,1.480809,8.372498
117.996001,870551.136000,870548.310000,290182.662000,290182.536000,72545.562000,1.770238,8.222351
117.997001,870570.504000,870567.660000,290189.106000,290188.980000,72547.182000,1.962254,8.461914
117.998001,870589.872000,870587.010000,290195.532000,290195.424000,72548.802000,1.632420,7.893677
117.999001,870609.222000,870606.324000,290201.976000,290201.868000,72550.404000,1.990086,8.081970
118.000001,870628.572000,870625.638000,290208.420000,290208.294000,72552.024000,2.116429,7.277832
118.001001,870647.940000,870645.006000,290214.846000,290214.756000,72553.644000,1.714574,7.105408
118.002001,870667.308000,870664.320000,290221.308000,290221.200000,72555.264000,2.211278,7.200928
118.003001,870686.658000,870683.688000,290227.734000,290227.644000,72556.884000,1.603368,6.061707
118.004001,870706.026000,870703.056000,290234.214000,290234.124000,72558.504000,1.963597,6.032715
118.005001,870725.394000,870722.460000,290240.676000,290240.586000,72560.124000,1.800511,6.195679
118.006001,870744.762000,870741.864000,290247.156000,290247.066000,72561.744000,1.746190,5.908203
118.007001,870764.130000,870761.286000,290253.636000,290253.546000,72563.364000,1.883885,6.460571
118.008001,870783.498000,870780.744000,290260.134000,290260.044000,72564.984000,1.306371,6.505127
118.009001,870802.884000,870800.166000,290266.614000,290266.524000,72566.604000,2.034276,7.319031
118.010001,870822.270000,870819.606000,290273.112000,290273.004000,72568.224000,1.666600,7.466125
118.011001,870841.638000,870839.064000,290279.592000,290279.466000,72569.826000,1.318944,7.526550
